video_id,Deutschland,USA,Kanada,Großbritannien,total
LgVi6y5QIjM,4.0,0.0,0.0,0.0,4.0
Bayt7uQith4,2.0,0.0,0.0,0.0,2.0
1ZAPwfrtAFY,4.0,7.0,0.0,0.0,11.0
AHtypnRk7JE,4.0,0.0,0.0,0.0,4.0
ZJ9We4bjcg0,3.0,0.0,0.0,0.0,3.0
xapGFgWqtg4,3.0,0.0,0.0,0.0,3.0
EIM7RMe39JY,1.0,0.0,0.0,0.0,1.0
PaWTaj6Iie0,3.0,0.0,0.0,0.0,3.0
GHct2dGNLks,2.0,0.0,0.0,0.0,2.0
aZYSFByDGkg,1.0,0.0,0.0,0.0,1.0
2hu_evXPpMM,1.0,0.0,0.0,0.0,1.0
2kyS6SvSYSE,3.0,7.0,4.0,0.0,14.0
2Zp-Qm3wJkA,1.0,0.0,0.0,0.0,1.0
mmMPprcmJeA,2.0,0.0,0.0,0.0,2.0
3U51cVIqulM,1.0,0.0,0.0,0.0,1.0
OKYUtHvgMhc,1.0,0.0,0.0,0.0,1.0
spwqQDCW4TI,2.0,0.0,0.0,0.0,2.0
-MAgDuA3H9A,2.0,0.0,0.0,0.0,2.0
riV8xuBqUQ0,2.0,0.0,0.0,0.0,2.0
nNtrjfX2aGw,3.0,0.0,0.0,0.0,3.0
k_IrAnVSjYE,1.0,0.0,0.0,0.0,1.0
KLxP8VxZjlk,1.0,0.0,0.0,0.0,1.0
cJx5blgWjDw,1.0,0.0,0.0,0.0,1.0
FWoXtrLTUMs,2.0,0.0,0.0,0.0,2.0
PK8lHszeXNk,1.0,0.0,0.0,0.0,1.0
BEVPWKNRrQQ,2.0,0.0,0.0,0.0,2.0
lqJbw2pWZLk,1.0,0.0,0.0,0.0,1.0
hg0OwRhQpGE,1.0,0.0,0.0,0.0,1.0
XVpDYrjZnuI,1.0,0.0,0.0,0.0,1.0
A5LFlKGs5wA,3.0,0.0,0.0,0.0,3.0
t3SveFfi5ik,2.0,0.0,0.0,0.0,2.0
2Vv-BfVoq4g,1.0,3.0,2.0,14.0,20.0
xSZnlufFjrA,2.0,0.0,0.0,0.0,2.0
TRZPLiLl9HY,1.0,0.0,1.0,0.0,2.0
zABx5FtO8-8,1.0,0.0,0.0,0.0,1.0
WRmrWLOtLGQ,1.0,0.0,0.0,0.0,1.0
n1WpP7iowLc,1.0,5.0,4.0,14.0,24.0
qfvMu1vMY1c,1.0,0.0,0.0,0.0,1.0
oWQuB2lVQLc,1.0,0.0,1.0,0.0,2.0
zmXEI7b3_Pc,1.0,0.0,0.0,0.0,1.0
Q-8otmFD1NY,1.0,0.0,0.0,0.0,1.0
0dBIkQ4Mz1M,3.0,0.0,5.0,0.0,8.0
jEtTDPkjoFc,2.0,0.0,2.0,0.0,4.0
xdjXsDoSU7I,1.0,0.0,0.0,0.0,1.0
KafpNXxuw0E,1.0,0.0,0.0,0.0,1.0
qxGkk5l3Bws,1.0,0.0,0.0,0.0,1.0
QLPXHC5q6Qw,1.0,0.0,0.0,0.0,1.0
B16Ic88PyQc,2.0,0.0,0.0,0.0,2.0
nQz2u6RJwgE,3.0,0.0,0.0,0.0,3.0
QtR5SwcDSOk,1.0,0.0,0.0,0.0,1.0
5BX5ugvK4Ys,2.0,0.0,0.0,0.0,2.0
kf3eDxsaJaU,1.0,0.0,0.0,0.0,1.0
T00aGa1ihf8,1.0,0.0,0.0,0.0,1.0
JlJ9lgfaWrc,1.0,0.0,0.0,0.0,1.0
JzCsM1vtn78,1.0,0.0,3.0,0.0,4.0
fe77K74czdA,1.0,0.0,0.0,0.0,1.0
ypdHIAAR1aw,1.0,0.0,0.0,0.0,1.0
SFjU8cQQlnY,1.0,0.0,0.0,0.0,1.0
U3xLOo-CNwo,1.0,0.0,3.0,0.0,4.0
Wg6a0chf3SI,1.0,0.0,0.0,0.0,1.0
0yIWz1XEeyc,1.0,0.0,1.0,0.0,2.0
f9cubuZBpxQ,1.0,0.0,0.0,0.0,1.0
7dMMXIlIbJ8,2.0,0.0,0.0,0.0,2.0
nWGKA8OULxU,1.0,0.0,0.0,0.0,1.0
VSRYWcbDqTo,1.0,0.0,0.0,0.0,1.0
QIAu8YQ83BE,1.0,0.0,0.0,0.0,1.0
o-bWQCeTc88,1.0,0.0,0.0,0.0,1.0
XEY-mcrPAjI,1.0,0.0,0.0,0.0,1.0
oo12BXzMkfI,1.0,0.0,0.0,0.0,1.0
IzXXi8d0Jto,1.0,0.0,0.0,0.0,1.0
cV2BUaijwT8,1.0,0.0,0.0,0.0,1.0
npB1aQmsChE,1.0,0.0,0.0,0.0,1.0
U9N0s-0nViE,1.0,0.0,0.0,0.0,1.0
GjD3TEWbMAE,1.0,0.0,0.0,0.0,1.0
3T406E-4zzs,1.0,0.0,0.0,0.0,1.0
3KdggIRWiR0,1.0,0.0,0.0,0.0,1.0
WOkPlcmCyzU,1.0,0.0,0.0,0.0,1.0
9EYAE-OEjfg,1.0,0.0,0.0,0.0,1.0
8C-4QBgwUuk,1.0,0.0,0.0,0.0,1.0
SGxi0SoPnLQ,1.0,0.0,0.0,0.0,1.0
A4mLsh07Eus,1.0,0.0,0.0,0.0,1.0
hUzgZAEG5RE,1.0,0.0,0.0,0.0,1.0
WLkFWX8ewxk,2.0,0.0,0.0,0.0,2.0
5qpjK5DgCt4,1.0,7.0,4.0,0.0,12.0
bnr4FIovIec,2.0,0.0,0.0,0.0,2.0
1SiKopOt-QM,3.0,0.0,3.0,0.0,6.0
Ejyp7ryu3Q0,1.0,0.0,0.0,0.0,1.0
GBNp7Up_y6E,1.0,0.0,0.0,0.0,1.0
7OGVjXMw3Kw,2.0,0.0,0.0,0.0,2.0
2ztjIfgquRU,1.0,0.0,0.0,0.0,1.0
THlX7a9bfTs,1.0,0.0,0.0,0.0,1.0
Mr3ZmvpdSM8,1.0,0.0,0.0,0.0,1.0
-lgdJ39Imto,2.0,0.0,0.0,0.0,2.0
ZISFmNM9p3s,1.0,0.0,0.0,0.0,1.0
v5_27anzZwY,1.0,0.0,0.0,0.0,1.0
ldOa-2m6bQc,1.0,0.0,0.0,0.0,1.0
kUFB_AseTl0,1.0,0.0,0.0,0.0,1.0
Zo9CSpCLPVc,2.0,0.0,0.0,0.0,2.0
YGA-zEWGAQ0,1.0,0.0,0.0,0.0,1.0
LuQI2BLhCCI,1.0,0.0,0.0,0.0,1.0
oZL3hWtWHGA,2.0,0.0,0.0,0.0,2.0
U271g04LDVo,1.0,0.0,0.0,0.0,1.0
wE679w4XF1s,1.0,0.0,0.0,0.0,1.0
TDn28TahPA8,1.0,0.0,0.0,0.0,1.0
7qiOrNao9fg,1.0,0.0,0.0,0.0,1.0
T89nYASkYI4,1.0,0.0,0.0,0.0,1.0
SxHThLAyICc,2.0,0.0,0.0,0.0,2.0
vv0XKGWVBKo,1.0,0.0,0.0,0.0,1.0
YYOCmR5Lvbw,1.0,0.0,1.0,0.0,2.0
gVrhwJjDhDw,1.0,0.0,0.0,0.0,1.0
d380meD0W0M,1.0,6.0,4.0,0.0,11.0
tb75j5uqPio,1.0,0.0,0.0,0.0,1.0
9c_qlRtC5rs,1.0,0.0,0.0,0.0,1.0
aNyAJelSDfI,1.0,0.0,0.0,0.0,1.0
b5BDRiks2MI,1.0,0.0,0.0,0.0,1.0
j9nCXKlZaSM,1.0,0.0,1.0,0.0,2.0
LUzsOyWp9lw,1.0,0.0,3.0,0.0,4.0
BycbCTTE3ZU,1.0,0.0,0.0,0.0,1.0
hR8x0BnXUV4,1.0,0.0,0.0,0.0,1.0
GSid9wlRqBQ,1.0,0.0,0.0,0.0,1.0
6H3wVsceoS0,1.0,0.0,2.0,0.0,3.0
KNq8laLAqcc,1.0,0.0,0.0,0.0,1.0
j8h7KEGcswk,1.0,0.0,0.0,0.0,1.0
5MYXzKS95XY,1.0,0.0,0.0,0.0,1.0
_UEk3WRixnc,1.0,0.0,0.0,0.0,1.0
fSdWRuVTcP8,1.0,0.0,0.0,0.0,1.0
ZhhXLMbZ1rQ,1.0,0.0,1.0,0.0,2.0
